Season,SeasonEndYear,Team,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,FG%,3P%,2P%,FT%,eFG%,WINS,LOSSES
2014-2015,2015,ATL,3121.0,6699.0,818.0,2152.0,2303.0,4547.0,1349.0,1735.0,715.0,2611.0,3326.0,2111.0,744.0,380.0,1103.0,1457.0,8409.0,1.0,0.4658904314076728,0.38011152416356875,0.506487794149989,0.777521613832853,0.5269443200477684,60,22
2014-2015,2015,BOS,3193.0,7211.0,660.0,2021.0,2533.0,5190.0,1266.0,1678.0,910.0,2685.0,3595.0,2009.0,674.0,294.0,1088.0,1738.0,8312.0,6.0,0.4427957287477465,0.32657100445324094,0.4880539499036609,0.7544696066746126,0.4885591457495493,40,42
2014-2015,2015,BRK,3069.0,6804.0,541.0,1633.0,2528.0,5171.0,1359.0,1817.0,846.0,2627.0,3473.0,1716.0,576.0,340.0,1098.0,1579.0,8038.0,0.0,0.45105820105820105,0.3312921004286589,0.48888029394701216,0.747936158503027,0.49081422692533805,38,44
2014-2015,2015,CHI,3001.0,6797.0,645.0,1825.0,2356.0,4972.0,1618.0,2067.0,959.0,2792.0,3751.0,1781.0,514.0,476.0,1080.0,1495.0,8265.0,0.0,0.4415183169045167,0.35342465753424657,0.47385358004827033,0.7827769714562167,0.48896572017066353,50,32
2014-2015,2015,CHO,2913.0,6932.0,498.0,1566.0,2415.0,5366.0,1397.0,1867.0,820.0,2793.0,3613.0,1654.0,499.0,448.0,916.0,1494.0,7721.0,0.0,0.4202250432775534,0.31800766283524906,0.45005590756615726,0.7482592394215318,0.45614541257934216,33,49
2014-2015,2015,CLE,3089.0,6739.0,826.0,2253.0,2263.0,4486.0,1453.0,1934.0,911.0,2612.0,3523.0,1814.0,603.0,340.0,1118.0,1510.0,8457.0,2.0,0.4583766137409111,0.36662228140257436,0.5044583147570219,0.7512926577042399,0.5196616708710491,53,29
2014-2015,2015,DAL,3255.0,7036.0,732.0,2082.0,2523.0,4954.0,1386.0,1843.0,858.0,2608.0,3466.0,1846.0,663.0,371.0,1029.0,1644.0,8628.0,0.0,0.46262080727686183,0.3515850144092219,0.5092854259184497,0.7520347259902334,0.5146389994314952,50,32
2014-2015,2015,DEN,3099.0,7158.0,660.0,2032.0,2439.0,5126.0,1462.0,1991.0,1012.0,2653.0,3665.0,1788.0,641.0,367.0,1133.0,1882.0,8320.0,0.0,0.43294216261525564,0.3248031496062992,0.4758095981271947,0.7343043696634857,0.4790444258172674,30,52
2014-2015,2015,DET,3041.0,7038.0,703.0,2043.0,2338.0,4995.0,1292.0,1838.0,1051.0,2630.0,3681.0,1771.0,623.0,383.0,1037.0,1559.0,8077.0,2.0,0.43208297811878377,0.3441018110621635,0.46806806806806805,0.7029379760609358,0.4820261437908497,32,50
2014-2015,2015,GSW,3410.0,7137.0,883.0,2217.0,2527.0,4920.0,1313.0,1709.0,853.0,2814.0,3667.0,2248.0,762.0,496.0,1156.0,1628.0,9016.0,1.0,0.4777917892671991,0.39828597203428057,0.5136178861788618,0.7682855471035693,0.5396525150623511,67,15
2014-2015,2015,HOU,3032.0,6832.0,933.0,2680.0,2099.0,4152.0,1525.0,2133.0,958.0,2624.0,3582.0,1820.0,777.0,407.0,1307.0,1803.0,8522.0,4.0,0.44379391100702575,0.34813432835820896,0.5055394990366089,0.7149554617909049,0.5120755269320844,56,26
2014-2015,2015,IND,2998.0,6824.0,612.0,1740.0,2386.0,5084.0,1373.0,1817.0,856.0,2822.0,3678.0,1757.0,505.0,375.0,1093.0,1742.0,7981.0,1.0,0.4393317702227433,0.35172413793103446,0.46931549960660895,0.755641166758393,0.48417350527549824,38,44
2014-2015,2015,LAC,3228.0,6830.0,827.0,2202.0,2401.0,4628.0,1468.0,2067.0,784.0,2711.0,3495.0,2031.0,640.0,409.0,967.0,1749.0,8751.0,1.0,0.4726207906295754,0.37556766575840145,0.5187986171132238,0.710208030962748,0.5331625183016105,56,26
2014-2015,2015,LAL,3054.0,7020.0,532.0,1546.0,2522.0,5474.0,1433.0,1935.0,952.0,2647.0,3599.0,1715.0,578.0,366.0,1035.0,1741.0,8073.0,2.0,0.43504273504273505,0.34411384217335056,0.4607234198027037,0.7405684754521964,0.47293447293447294,21,61
2014-2015,2015,MEM,3097.0,6763.0,423.0,1246.0,2674.0,5517.0,1445.0,1869.0,856.0,2634.0,3490.0,1777.0,700.0,347.0,1064.0,1567.0,8062.0,0.0,0.457932870028094,0.3394863563402889,0.4846837049120899,0.7731407169609417,0.4892059736803194,55,27
2014-2015,2015,MIA,2885.0,6330.0,556.0,1659.0,2329.0,4671.0,1438.0,1940.0,747.0,2461.0,3208.0,1626.0,642.0,372.0,1139.0,1636.0,7764.0,1.0,0.4557661927330174,0.3351416515973478,0.49860843502462,0.7412371134020619,0.49968404423380725,37,45
2014-2015,2015,MIL,3083.0,6722.0,545.0,1500.0,2538.0,5222.0,1312.0,1734.0,876.0,2574.0,3450.0,1932.0,789.0,403.0,1309.0,1814.0,8023.0,0.0,0.45864326093424573,0.36333333333333334,0.4860206817311375,0.7566320645905421,0.4991817911335912,41,41
2014-2015,2015,MIN,2986.0,6820.0,406.0,1223.0,2580.0,5597.0,1638.0,2110.0,949.0,2406.0,3355.0,1771.0,668.0,327.0,1172.0,1571.0,8016.0,1.0,0.4378299120234604,0.33197056418642684,0.4609612292299446,0.776303317535545,0.46759530791788856,16,66
2014-2015,2015,NOP,3108.0,6795.0,586.0,1583.0,2522.0,5212.0,1345.0,1790.0,942.0,2621.0,3563.0,1806.0,553.0,510.0,1033.0,1530.0,8147.0,1.0,0.4573951434878587,0.37018319646241316,0.4838833461243285,0.7513966480446927,0.5005150846210449,45,37
2014-2015,2015,NYK,2882.0,6726.0,560.0,1614.0,2322.0,5112.0,1211.0,1575.0,867.0,2443.0,3310.0,1746.0,575.0,382.0,1129.0,1768.0,7535.0,0.0,0.42848647041332144,0.3469640644361834,0.45422535211267606,0.7688888888888888,0.4701159678858162,17,65
2014-2015,2015,OKC,3184.0,7119.0,632.0,1864.0,2552.0,5255.0,1524.0,2020.0,1052.0,2844.0,3896.0,1681.0,598.0,454.0,1150.0,1829.0,8524.0,11.0,0.4472538277848012,0.33905579399141633,0.4856327307326356,0.7544554455445545,0.4916420845624385,45,37
2014-2015,2015,ORL,3076.0,6792.0,554.0,1598.0,2522.0,5194.0,1141.0,1565.0,822.0,2607.0,3429.0,1692.0,647.0,314.0,1175.0,1714.0,7847.0,2.0,0.45288574793875147,0.34668335419274093,0.4855602618405853,0.729073482428115,0.49366902237926974,25,57
2014-2015,2015,PHI,2765.0,6777.0,692.0,2160.0,2073.0,4617.0,1320.0,1953.0,978.0,2536.0,3514.0,1683.0,789.0,487.0,1386.0,1778.0,7542.0,3.0,0.4079976390733363,0.32037037037037036,0.4489928525016244,0.6758832565284179,0.45905267817618417,18,64
2014-2015,2015,PHO,3178.0,7038.0,698.0,2048.0,2480.0,4990.0,1343.0,1767.0,896.0,2643.0,3539.0,1659.0,700.0,385.0,1192.0,1744.0,8397.0,2.0,0.45154873543620344,0.3408203125,0.4969939879759519,0.7600452744765138,0.5011366865586815,39,43
2014-2015,2015,POR,3175.0,7049.0,807.0,2231.0,2368.0,4818.0,1272.0,1589.0,879.0,2881.0,3760.0,1799.0,525.0,372.0,1087.0,1494.0,8429.0,0.0,0.4504184990778834,0.3617212012550426,0.49149024491490245,0.8005034612964128,0.507660661086679,51,31
2014-2015,2015,SAC,3010.0,6617.0,461.0,1350.0,2549.0,5267.0,1829.0,2400.0,895.0,2728.0,3623.0,1667.0,550.0,324.0,1280.0,1696.0,8310.0,2.0,0.4548889224724195,0.3414814814814815,0.4839567116005316,0.7620833333333333,0.4897234396252078,29,53
2014-2015,2015,SAS,3208.0,6854.0,677.0,1847.0,2531.0,5007.0,1368.0,1754.0,806.0,2772.0,3578.0,2000.0,657.0,444.0,1104.0,1564.0,8461.0,1.0,0.4680478552669974,0.36654033567948024,0.5054923107649291,0.7799315849486887,0.5174350744091042,55,27
2014-2015,2015,TOR,3108.0,6829.0,726.0,2060.0,2382.0,4769.0,1585.0,2014.0,881.0,2526.0,3407.0,1701.0,615.0,357.0,1000.0,1712.0,8527.0,2.0,0.4551178796309855,0.3524271844660194,0.49947578108618157,0.7869910625620655,0.5082735393176161,49,33
2014-2015,2015,UTA,2900.0,6492.0,610.0,1781.0,2290.0,4711.0,1391.0,1929.0,988.0,2617.0,3605.0,1632.0,623.0,489.0,1166.0,1583.0,7801.0,0.0,0.4467036352433765,0.3425042111173498,0.4860963701974103,0.7210990150336962,0.4936845348120764,38,44
2014-2015,2015,WAS,3139.0,6790.0,497.0,1381.0,2642.0,5409.0,1305.0,1758.0,862.0,2801.0,3663.0,1969.0,601.0,378.0,1179.0,1707.0,8080.0,0.0,0.4622974963181149,0.3598841419261405,0.48844518395267145,0.742320819112628,0.4988954344624448,46,36
